Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Avg Precision
xgboost,0.8584490740740741,0.4430693069306931,0.9013091641490433,0.5940922668436774,0.941409567508719,0.6391673399770446
lightgbm,0.856712962962963,0.44015632633121643,0.9073514602215509,0.5927631578947369,0.942117774598731,0.6441197247997122
random_forest,0.8458333333333333,0.41795740561471445,0.8695871097683786,0.564563582870219,0.9280336357378596,0.6064481926101177
