model_family,accuracy,precision,recall,f1_score,roc_auc,avg_precision,used_scaled_inputs,model_file
catboost,0.5475676735974893,0.5252946698654428,0.9878383679874461,0.6858699353081376,0.6590396020569524,0.6134886981057783,True,best_accuracy_catboost_7883a884ad12499e9f3578fcc3bc06b1.pkl
lightgbm,0.5671178239832614,0.5374785497827596,0.9625343271871322,0.68978281751517,0.620353471163145,0.5684099010185013,True,best_accuracy_lightgbm_d102caa4526d43f49e0015b9b54c9be4.pkl
logistic,0.8544200340002616,0.8486973303312962,0.8626258663528181,0.8556049158533027,0.9272222419737095,0.9048338711689976,True,best_accuracy_logistic_regression_c8fbbf1460374a9182fb98bb91158466.pkl
random,0.7458480449849614,0.7579228975168062,0.7224401726167125,0.7397562935190145,0.8079000207587277,0.7960643962181745,True,best_accuracy_random_forest_53d1e358272b4c74b7ad282b4d6a5b23.pkl
xgboost,0.5,0.5,1.0,0.6666666666666666,0.5036694073693637,0.4758311103868861,True,best_accuracy_xgboost_e51f9328c6124fb99c9724e0bb2cda30.pkl
